Code ue;Matiere;Semestre;ParcoursID;ue ID
SEG1320;Economie et comptabilité;3;1071;117
ANG1420;Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite;4;1071;118
GEL1420;Introduction à l'électronique et montage des circuits électroniques;4;1071;119
GEL1421;Physiques pour l'Ingénieur : Electrotechnique - Magnétisme - Machines - Réseaux;4;1071;120
GEL1422;Physiques pour l'ingénieur : Electrostatique - Electrocinétique - Electromagnétisme;4;1071;121
GEL1423;Physique des Capteurs : Notions fondamentales;4;1071;122
GEM1420;Résistance des matériaux pour ingénieur génie mécanique;4;1071;123
MTH1420;Calcul différentiel dans Rn;4;1071;124
MTH1421;Statistiques inférentielles (décisionnelles);4;1071;125
MTH1422;Analyse numérique et Pratique;4;1071;126
MTH1423;Théorie des graphes;4;1071;127
GEM1520;Fabrication mécanique 1;5;1071;128
GEM1521;Construction mécanique : les organes de transmission de puissance;5;1071;129
GEM1522;Métrologie;5;1071;130
GEM1523;Conception assistée par ordinateur;5;1071;131
GEM1524;Résistance des matériaux : Dimensionnement des structures;5;1071;132
GEM1525;Bureau des méthodes;5;1071;133
GEM1526;Organisation et méthodes de la maintenance;5;1071;134
GEM1527;Energies renouvelables;5;1071;135
ANG1620;Anglais de spécialité pour le mécanicien;6;1071;136
GEM1620;Métallurgie;6;1071;137
GEM1621;Fabrication assistée par ordinateur et Pratique;6;1071;138
GEM1622;Maintenance industrielle;6;1071;139
GEM1623;Projet de conception;6;1071;140
GEM1624;Montage d'usinage;6;1071;141
GEM1625;Transfert Thermique;6;1071;142
GEM1626;Thermodynamique avancée;6;1071;143
GEM1627;Fabrication mécanique 2;6;1071;144
GEM1628;Hydraulique et pneumatique;6;1071;145
CHM1120;Chimie appliquée;1;1072;146
FRA1120;Techniques de communication orales;1;1072;147
INF1120;Algorithmique et Initiation à la programmation;1;1072;148
MTH1120;Bases mathématiques;1;1072;149
MTH1121;Calcul différentiel et Pratique;1;1072;150
MTU1120;Méthode de travail universitaire;1;1072;151
PHY1120;Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen;1;1072;152
PHY1121;Physique pour l'ingénieur : Électricité;1;1072;153
ANG1221;Anglais : compréhension orale et écrite;2;1072;154
FRA1220;Techniques de communication écrites;2;1072;155
GEM1220;Géométrie descriptive et dessin;2;1072;156
INF1220;Structure de données et programmation C;2;1072;157
INF1221;Programmation Python;2;1072;158
MTH1220;Structure algébrique de base;2;1072;159
MTH1221;Algèbre linéaire et Pratique;2;1072;160
PHY1220;Mécanique du solide;2;1072;161
INF1320;Programmation Orientée Objet;3;1072;162
INF1321;Architecture et technologie des ordinateurs et des Système d'information;3;1072;163
MTH1320;Séries et intégrations multiple et généralisée;3;1072;164
MTH1321;Mathématiques pour l’Ingénieur : Probabilités et Statistiques;3;1072;165
MTH1322;Algèbre tensorielle;3;1072;166
PHY1320;Physique pour l'ingénieur : Loi de la thermodynamique;3;1072;167
PHY1321;Physique pour l'ingénieur : Optique;3;1072;168
SEG1320;Economie et comptabilité;3;1072;169
ANG1420;Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite;4;1072;170
DRT1420;Droit: droit du travail et droit de l'informatique;4;1072;171
INF1428;Architecture et fonctionnement des réseaux Informatiques;4;1072;172
INF1429;Analyse et conception MERISE;4;1072;173
MTH1420;Calcul différentiel dans Rn;4;1072;174
MTH1421;Statistiques inférentielles (décisionnelles);4;1072;175
MTH1422;Analyse numérique et Pratique;4;1072;176
MTH1423;Théorie des graphes;4;1072;177
ANG1520;Anglais;5;1072;178
INF1520;Initiation aux Systèmes d’Information;5;1072;179
INF1521;Base de données;5;1072;180
INF1522;Modélisation-UML;5;1072;181
INF1525;Projet tutoré;5;1072;182
INF1526;Bases de la Sécurité des systèmes informatiques;5;1072;183
INF1527;Généralités sur les stockages de l'information;5;1072;184
INF1528;Programmation web;5;1072;185
INF1529;Compilation;5;1072;186
ANG1620;Anglais;6;1072;187
INF1620;Adminsitration de bases de données;6;1072;188
INF1621;Adminsitration Système Linux;6;1072;189
INF1623;Initiation à l'ingénierie des Systèmes d'Information;6;1072;190
INF1624;Développement d'applications de bureau;6;1072;191
INF1625;Développement d'applications distribuées;6;1072;192
INF1630;Stage;6;1072;193
CHM1120;Chimie appliquée;1;1073;194
FRA1120;Techniques de communication orales;1;1073;195
INF1120;Algorithmique et Initiation à la programmation;1;1073;196
MTH1120;Bases mathématiques;1;1073;197
MTH1121;Calcul différentiel et Pratique;1;1073;198
MTU1120;Méthode de travail universitaire;1;1073;199
PHY1120;Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen;1;1073;200
PHY1121;Physique pour l'ingénieur : Électricité;1;1073;201
ANG1221;Anglais : compréhension orale et écrite;2;1073;202
FRA1220;Techniques de communication écrites;2;1073;203
GEM1220;Géométrie descriptive et dessin;2;1073;204
INF1220;Structure de données et programmation C;2;1073;205
INF1221;Programmation Python;2;1073;206
MTH1220;Structure algébrique de base;2;1073;207
MTH1221;Algèbre linéaire et Pratique;2;1073;208
PHY1220;Mécanique du solide;2;1073;209
INF1320;Programmation Orientée Objet;3;1073;210
INF1321;Architecture et technologie des ordinateurs et des Système d'information;3;1073;211
MTH1320;Séries et intégrations multiple et généralisée;3;1073;212
MTH1321;Mathématiques pour l’Ingénieur : Probabilités et Statistiques;3;1073;213
MTH1322;Algèbre tensorielle;3;1073;214
PHY1320;Physique pour l'ingénieur : Loi de la thermodynamique;3;1073;215
PHY1321;Physique pour l'ingénieur : Optique;3;1073;216
SEG1320;Economie et comptabilité;3;1073;217
ANG1420;Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite;4;1073;218
DRT1420;Droit: droit du travail et droit de l'informatique;4;1073;219
INF1428;Architecture et fonctionnement des réseaux Informatiques;4;1073;220
INF1429;Analyse et conception MERISE;4;1073;221
MTH1420;Calcul différentiel dans Rn;4;1073;222
MTH1421;Statistiques inférentielles (décisionnelles);4;1073;223
MTH1422;Analyse numérique et Pratique;4;1073;224
MTH1423;Théorie des graphes;4;1073;225
ANG1520;Anglais;5;1073;226
INF1520;Initiation aux Systèmes d’Information;5;1073;227
INF1521;Base de données;5;1073;228
INF1522;Modélisation-UML;5;1073;229
INF1523;Méthodes numériques en python pour l'analyse;5;1073;230
INF1525;Projet tutoré;5;1073;231
MTH1520;Recherche opérationnelle;5;1073;232
MTH1524;Modélisation statistique;5;1073;233
ANG1620;Anglais;6;1073;234
INF1620;Adminsitration de bases de données;6;1073;235
INF1621;Adminsitration Système Linux;6;1073;236
INF1622;Programmation distribuée pour le stockage et le calcul;6;1073;237
INF1630;Stage;6;1073;238
MTH1620;Statistiques exploratoires multidimensionelles;6;1073;239
MTH1621;Data Mining;6;1073;240
CHM1120;Chimie appliquée;1;1074;241
FRA1120;Techniques de communication orales;1;1074;242
INF1120;Algorithmique et Initiation à la programmation;1;1074;243
MTH1120;Bases mathématiques;1;1074;244
MTH1121;Calcul différentiel et Pratique;1;1074;245
MTU1120;Méthode de travail universitaire;1;1074;246
PHY1120;Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen;1;1074;247
PHY1121;Physique pour l'ingénieur : Électricité;1;1074;248
ANG1221;Anglais : compréhension orale et écrite;2;1074;249
FRA1220;Techniques de communication écrites;2;1074;250
GEM1220;Géométrie descriptive et dessin;2;1074;251
INF1220;Structure de données et programmation C;2;1074;252
INF1221;Programmation Python;2;1074;253
MTH1220;Structure algébrique de base;2;1074;254
MTH1221;Algèbre linéaire et Pratique;2;1074;255
PHY1220;Mécanique du solide;2;1074;256
INF1320;Programmation Orientée Objet;3;1074;257
INF1321;Architecture et technologie des ordinateurs et des Système d'information;3;1074;258
