code_ue,nom_matiere,semestre,id_parcours,ue_id,id_enseignant
INF1220,Structure de données et programmation C,2,1071,105,947373
INF1221,Programmation Python,2,1071,106,675916
MTH1220,Structure algébrique de base,2,1071,107,169733
MTH1221,Algèbre linéaire et Pratique,2,1071,108,388274
PHY1220,Mécanique du solide,2,1071,109,574018
INF1320,Programmation Orientée Objet,3,1071,110,236921
INF1321,Architecture et technologie des ordinateurs et des Système d'information,3,1071,111,881813
MTH1320,Séries et intégrations multiple et généralisée,3,1071,112,248723
MTH1321,Mathématiques pour l’Ingénieur : Probabilités et Statistiques,3,1071,113,948604
MTH1322,Algèbre tensorielle,3,1071,114,881948
PHY1320,Physique pour l'ingénieur : Loi de la thermodynamique,3,1071,115,769673
PHY1321,Physique pour l'ingénieur : Optique,3,1071,116,437822
SEG1320,Economie et comptabilité,3,1071,117,881948
ANG1420,"Anglais de spécialité : Approche thématique des textes, compréhension orale et écrite",4,1071,118,378704
GEL1420,Introduction à l'électronique et montage des circuits électroniques,4,1071,119,876490
GEL1421,Physiques pour l'Ingénieur : Electrotechnique - Magnétisme - Machines - Réseaux,4,1071,120,279205
GEL1422,Physiques pour l'ingénieur : Electrostatique - Electrocinétique - Electromagnétisme,4,1071,121,776261
GEL1423,Physique des Capteurs : Notions fondamentales,4,1071,122,833881
GEM1420,Résistance des matériaux pour ingénieur génie mécanique,4,1071,123,221365
MTH1420,Calcul différentiel dans Rn,4,1071,124,790245
MTH1421,Statistiques inférentielles (décisionnelles),4,1071,125,340126
MTH1422,Analyse numérique et Pratique,4,1071,126,667681
MTH1423,Théorie des graphes,4,1071,127,530804
GEM1520,Fabrication mécanique 1,5,1071,128,545511
GEM1521,Construction mécanique : les organes de transmission de puissance,5,1071,129,898026
GEM1522,Métrologie,5,1071,130,335654
GEM1523,Conception assistée par ordinateur,5,1071,131,175341
GEM1524,Résistance des matériaux : Dimensionnement des structures,5,1071,132,832556
GEM1525,Bureau des méthodes,5,1071,133,714780
GEM1526,Organisation et méthodes de la maintenance,5,1071,134,870499
GEM1527,Energies renouvelables,5,1071,135,419941
ANG1620,Anglais de spécialité pour le mécanicien,6,1071,136,799952
